frame_id,track_count,active_track_ids,arm_velocity,body_velocity,fall_score,approach_velocity,risk_score,fused_score,state,active_rules,persistence_scores
139,2,3;1,0.0000,0.0000,0.3815,0.0000,0.2424,0.2424,NORMAL,CAMERA_RUSH,"{""[2, 3]"": 0.13268009529658414, ""[3]"": 0.24241593638853876}"
140,2,3;1,3.6552,4.2277,0.3744,-3.6405,0.3495,0.3495,NORMAL,CAMERA_RUSH,"{""[2, 3]"": 0.12206568767285741, ""[3]"": 0.3494583415670048}"
141,2,3;1,0.0000,0.0000,0.3744,0.0000,0.4716,0.4716,NORMAL,CAMERA_RUSH,"{""[2, 3]"": 0.11230043265902882, ""[3]"": 0.47162476235148154}"
142,2,3;1,0.3163,2.2507,0.1838,1.7734,0.4339,0.4339,NORMAL,,"{""[2, 3]"": 0.10331639804630652, ""[3]"": 0.433894781363363}"
143,2,3;1,0.0000,0.0000,0.1838,0.0000,0.3992,0.3992,NORMAL,,"{""[2, 3]"": 0.095051086202602, ""[3]"": 0.399183198854294}"
144,2,3;1,0.7410,0.6272,0.3070,0.4753,0.3672,0.3672,NORMAL,,"{""[2, 3]"": 0.08744699930639384, ""[3]"": 0.3672485429459505}"
145,2,3;1,0.0000,0.0000,0.3070,0.0000,0.3379,0.3379,NORMAL,,"{""[2, 3]"": 0.08045123936188234, ""[3]"": 0.33786865951027445}"
146,2,3;1,2.1714,2.8909,0.2592,-0.4233,0.3108,0.3108,NORMAL,,"{""[2, 3]"": 0.07401514021293175, ""[3]"": 0.3108391667494525}"
147,2,3;1,0.0000,0.0000,0.2592,0.0000,0.3693,0.3693,NORMAL,CAMERA_RUSH,"{""[2, 3]"": 0.06809392899589721, ""[3]"": 0.36931529859594525}"
148,2,3;1,0.0000,0.0000,0.0000,0.0000,0.3398,0.3398,NORMAL,,"{""[2, 3]"": 0.06264641467622543, ""[3]"": 0.33977007470826964}"
149,2,3;1,0.0000,0.0000,0.0000,0.0000,0.3126,0.3126,NORMAL,,"{""[2, 3]"": 0.0576347015021274, ""[3]"": 0.31258846873160806}"
150,2,3;1,0.0000,0.0000,0.0000,0.0000,0.2876,0.2876,NORMAL,,"{""[2, 3]"": 0.05302392538195721, ""[3]"": 0.2875813912330794}"
151,2,3;1,0.0000,0.0000,0.0000,0.0000,0.2646,0.2646,NORMAL,,"{""[3]"": 0.26457487993443307}"
152,2,3;1,0.1253,0.2497,0.5418,0.2110,0.2434,0.2434,NORMAL,,"{""[3]"": 0.24340888953967843}"
153,2,3;1,0.0000,0.0000,0.5418,0.0000,0.3227,0.3227,NORMAL,CAMERA_RUSH,"{""[3]"": 0.3227017127664782}"
154,2,3;1,0.7496,0.0458,0.5418,-0.0508,0.2969,0.2969,NORMAL,,"{""[3]"": 0.29688557574515995}"
155,2,3;1,0.0000,0.0000,0.5418,0.0000,0.3589,0.3589,NORMAL,CAMERA_RUSH,"{""[3]"": 0.3589170789817712}"
156,2,3;1,7.3535,2.1167,0.2911,0.0465,0.3772,0.3772,NORMAL,CAMERA_RUSH,"{""[3]"": 0.3771684861972397}"
157,2,3;1,0.0000,0.0000,0.2911,0.0000,0.3470,0.3470,NORMAL,,"{""[3]"": 0.34699500730146055}"
158,2,3;1,1.6619,0.3903,0.3318,-0.0161,0.3192,0.3192,NORMAL,,"{""[3]"": 0.31923540671734374}"
